f1,f2,f3,f4,f5,f6,f7,f8,f9,f10
1.88790487068956,1.85791868726014,4.88304231757739,2.41614003339782,4.90365320187993,2.61748076067306,3.47391777206212,3.15884535177611,2.04585699271411,3.2709551283624
1.95396450210334,2.05137674183131,2.29882714148417,3.6715824236162,3.68081859569065,4.82761714234948,4.94561434467323,3.62714833649807,2.92895300406963,2.65260410541669
2.31174166282982,1.95066162430753,4.64714529816469,2.75878527876921,4.15071848384105,3.13797137583606,2.67236632178538,4.23275924660265,3.2855080680456,2.95775065501221
2.01410167828492,1.93049148012045,3.74700484214633,2.2208185121417,2.8502742680721,3.87872042367235,4.13758596591651,2.99999729520641,3.68639319692738,2.724860382732
2.02585754703219,1.809676286547,3.50604833147677,4.287945875898,4.406758710742,2.55050720577128,2.45037817792036,2.97474571457133,4.76229640096426,2.00345715507865
2.34301299737666,1.99099445503822,3.33169442996368,3.81910632783547,3.88765807496384,3.97762285498902,3.57717751828022,3.27122911042534,3.55076725757681,2.67145148315467
2.09218324119784,1.84301910610858,4.33566560267955,2.99898159573786,4.72688273573294,4.20407873205841,4.48542747017927,2.82890404714271,4.22011990938336,4.90749386604875
1.74698775307869,1.66641161268237,2.37365906050133,4.72899085632525,3.18837556708604,3.48703829897568,2.380581632955,3.878270448884,3.85353842750192,3.29720859578811
1.86262942962129,1.92395469594245,2.99520976144263,3.77008159039542,2.92485324200243,4.60615623136982,4.45904984511435,2.13079353468493,2.61724852886982,4.88992138556205
1.91086760598001,2.18379932181215,3.73578225307222,4.83927718829364,4.19508248916827,4.49551383336075,2.73801024910063,3.81960436026566,3.52606712235138,2.76746034738608
2.24481635948789,1.88493060747832,2.84662428073272,4.70699161617085,4.08502570539713,4.94989647599868,2.29105389653705,3.25114729069173,2.18318704352714,2.40629161708057
2.07196276541147,2.12159286444501,4.39673170351859,3.16090411623009,3.30590049666353,4.00055067520589,2.49110436043702,2.13085706741549,4.32350638369098,3.6877760796342
2.08015429011881,1.67642345834217,2.65494713450652,4.15544298477471,4.42255967110395,3.92858042614534,3.99306561192498,4.98022322147153,2.6127405918669,3.29974802327342
2.02213654318902,1.98888760689509,3.75388654409356,4.48204116453417,2.91683913464658,2.13543585455045,4.03228435036726,3.87968312297016,4.5712207837496,4.58868237934075
