f1,f2,f3,f4,f5
1.88790487068956,1.85791868726014,4.88304231757739,2.41614003339782,4.90365320187993
1.95396450210334,2.05137674183131,2.29882714148417,3.6715824236162,3.68081859569065
2.31174166282982,1.95066162430753,4.64714529816469,2.75878527876921,4.15071848384105
2.01410167828492,1.93049148012045,3.74700484214633,2.2208185121417,2.8502742680721
2.02585754703219,1.809676286547,3.50604833147677,4.287945875898,4.406758710742
2.34301299737666,1.99099445503822,3.33169442996368,3.81910632783547,3.88765807496384
2.09218324119784,1.84301910610858,4.33566560267955,2.99898159573786,4.72688273573294
1.74698775307869,1.66641161268237,2.37365906050133,4.72899085632525,3.18837556708604
1.86262942962129,1.92395469594245,2.99520976144263,3.77008159039542,2.92485324200243
1.91086760598001,2.18379932181215,3.73578225307222,4.83927718829364,4.19508248916827
2.24481635948789,1.88493060747832,2.84662428073272,4.70699161617085,4.08502570539713
2.07196276541147,2.12159286444501,4.39673170351859,3.16090411623009,3.30590049666353
2.08015429011881,1.67642345834217,2.65494713450652,4.15544298477471,4.42255967110395
2.02213654318902,1.98888760689509,3.75388654409356,4.48204116453417,2.91683913464658
1.88883177304919,2.10388144078869,3.2867648126441,4.74146613385528,4.74366593989544
2.35738262736062,2.06023067243334,2.88558616797646,2.39185639633797,3.88948816852644
2.09957009564585,2.02113523882979,4.82523359930032,2.13325123023242,4.33149277418852
1.60667656867407,1.87185879833892,2.61387113419137,4.96470160339959,4.15143167693168
2.14027118031274,1.83005913079328,3.35761317859723,3.16843806137331,3.98952856822871
1.90544171845441,1.79517424187902,2.10181916042542,4.13316023931839,4.10927600204013
1.78643525880263,2.02352931942003,3.81138100485151,3.57782023074105,2.57790754386224
1.95640501706834,1.81050507716304,4.12522625532585,3.16070382576436,3.79423464369029
1.79479911033855,1.90188851125987,3.92565251978525,4.15570049220696,4.301511565689
1.85422175414177,1.94878156156035,2.686757257146,4.64054215233773,2.70912779564969
1.87499214643015,2.36877240104644,4.84327154649743,2.36348058911972,4.07466818764806
1.66266133785152,1.86961001966091,3.78945939893146,3.10115671041422,2.27671723300591
2.1675574088989,2.04707731445697,2.94367528592446,4.36979559063911,4.21112372097559
2.0306746235673,2.01559216991274,3.17952422671204,2.64680069568567,4.83404321433045
1.77237261259761,1.80762867317397,2.56705863041721,3.86218028282747,3.99226295528933
2.25076298421399,1.98573838277528,4.59259068915935,3.1331670708023,4.00224672397599
2.08529284429536,2.28891017168467,4.52580862184871,3.81210589990951,3.26006502308883
1.94098570340155,2.09030081061584,3.83823324331725,3.69355480466038,2.41390076745301
2.179025132209,2.00824658439859,3.06584755384591,4.08332990040071,3.40809534094296
2.17562669750661,1.91550063353208,4.93672133108139,4.44243105966598,2.28126272791997
2.1643162163275,1.5893505556919,2.72808792959654,3.36105270357803,4.2622200534679
2.13772805082002,2.22626744268284,3.86482362487622,3.10989408520982,3.09898371668532
2.11078353070752,1.70787198581504,2.36873948198039,4.46797711472027,3.70440914505161
1.98761765788466,2.14798950217547,3.78926694303007,3.53787281434052,3.14906394248828
1.93880746725202,2.3818207138435,2.25452739425489,4.22474547591992,2.60971610015258
1.92390579979752,1.71122136780564,2.517110364855,4.54801543452777,3.60579615761526
1.8610586042159,2.14035686707494,3.08265538695294,3.32089914614335,3.15754174720496
1.95841654439608,1.94756050211951,3.96245321256424,3.21772491978481,4.58685607789084
1.74692072968635,1.6855711681709,4.42417559863063,4.55275283241645,2.28069063439034
2.4337911930677,1.69706646924365,2.38106913310302,4.18107383605093,2.19034561351873
2.241592399661,1.67969276528508,4.99989983567095,3.84521075454541,2.50029211165383
1.77537828335933,1.89381869556594,4.13906258574034,4.10000318987295,4.80696569406427
1.91942303294018,1.70764888300082,4.65456897763038,4.24451889190823,3.32752692583017
1.90666892927536,2.13758335459517,2.17107178845534,2.78554292814806,4.02318884828128
2.15599302366726,2.42002178810513,3.07836760753506,2.82858995487913,2.10823399713263
1.98332618670563,1.74259390479296,4.26998035843049,2.59839131496847,3.40526326419786
2.05066370279895,2.15754776949504,3.42841936751076,4.82898799073882,2.13696071063168
1.99429064893026,2.15380844820018,2.89886758464597,2.81343704345636,3.86010108119808
1.99142590854174,2.06644051579002,2.53388436403955,3.49522594735026,4.59467596467584
2.27372045680289,1.7983246783446,1.96407273302946,2.11006364575587,2.58760748174973
1.95484580286815,1.97610947867387,2.62242731972856,4.40521169849671,2.84629535977729
2.30329412088591,1.94392093296595,4.73646957413178,3.21567369764671,4.59556126617827
1.69024943915396,2.1125979066441,4.0326401486141,3.38037771568634,2.0961051415652
2.11692274992721,1.92551224877923,4.28494505322193,4.7934564515017,4.34706612606533
2.02477084876892,2.19539467733712,2.71207018662889,3.16964217694476,3.36520848190412
2.04318831374879,1.9250838284466,2.78174106946783,4.23744910722598,2.24036566563882
2.07592789655198,2.21054229311587,5.18441262388797,4.35082548996434,4.72028261004016
1.89953530937814,1.79016459866679,3.4597449410214,2.62236875970848,2.56701996363699
1.93335852326612,1.74796895104838,3.04670380064263,2.16958018881269,4.23828760487959
1.79628492337858,2.64820798698848,2.37559290210652,2.99454150116071,3.29469223949127
1.78564175470488,1.91662848236791,3.6844003806964,4.05141555680893,4.01159659167752
2.06070572828085,2.05964551830814,2.95303883889202,4.30332280485891,2.56235363800079
2.08964195572589,2.12731393480677,2.66915649437947,3.95914817438461,4.64522951864637
2.0106008453461,1.90324387485825,3.82189376886591,4.80141198262572,2.1466023453977
2.18445349357595,2.10337240886272,3.18544434050465,2.01054785470478,2.66061466024257
2.41001693712543,2.07379290547702,4.61347245690985,3.13516727788374,2.78540139831603
1.90179376678869,1.95692389847166,2.32923587576623,3.93111215345562,4.30162971210666
1.53816622487184,2.01305860670506,4.70971193557258,2.29721783357672,3.15788751258515
2.20114770489245,1.99318654925231,3.01452998465859,2.04519038554281,2.83571932720952
1.85815984748352,2.42569037980324,4.39982583874558,2.44569521141239,2.23284653620794
1.86239827670653,1.85173278074543,3.88257404440363,4.23593093990348,3.50091458857059
2.20511427393934,1.78080074658507,3.47033129516688,4.5582402527798,3.3543543482665
1.9430453985898,2.00755767983422,3.86927416240127,2.97483637183905,4.95980483968742
1.75585645754909,2.06209614988863,2.12798818979053,2.80000852630474,2.42640302143991
2.03626069594983,2.08730469578204,2.91883406508304,2.730642326409,4.50150725455023
1.97222172751219,1.90832693345778,4.11607475506589,4.8687508746516,2.08858847012743
2.00115283717998,1.78733477320576,2.84901119198052,3.49180621816777,4.336276111193
2.07705608022527,2.2526370352179,4.20411435680399,4.08335472620092,2.68602182087488
1.92586799364152,1.93006992240929,2.77897073480668,4.74539574189112,2.40158035536297
2.12887530970377,1.82689742746933,4.36707159927656,3.82676536100917,2.57183277141303
1.95590268763625,1.95274408621178,4.87352083167255,2.7878265734762,2.64759391918778
2.06635639278314,1.96056482113029,1.93689443041255,4.75679221330211,4.80251417635009
2.21936780262987,2.22198405794273,2.11030957325301,4.13483923580498,4.96645296365023
2.08703629816676,2.01694745843944,3.99451536915205,2.13148578139953,2.93007478560321
1.93481368289375,2.1508107570369,3.46000166852805,3.90052288048901,2.41139263799414
2.22976152369022,1.90014159656555,4.48282628267506,4.55819716351107,3.98295742017217
2.19870077119242,2.04288906191632,5.0391516948073,2.35728757805191,3.75474013015628
2.10967939190161,1.93506281770183,2.40326800869251,4.8561137097422,3.03219599765725
2.04774634702229,2.01891670563471,3.71356654538723,2.12251957925037,4.44186961534433
1.87441878479213,1.82092732840449,4.11595870193302,2.51179994503036,2.8495518786367
2.272130489706,1.73783969333441,2.2504241225761,2.06946022878401,4.53752318187617
1.87994808257057,2.39944267694959,4.62818457653553,3.16972971963696,2.41106565645896
2.43746659860332,2.12014176473448,2.77916250090104,4.12783142272383,4.5858432687819
2.30652212523704,1.74974572767501,2.03424529536268,3.96726663713343,2.20136185665615
1.9528599281799,1.87776681666392,3.86417292388463,3.45842815050855,3.30562530620955
1.79471581993864,1.76290398308054,4.3248008117687,2.24216948822141,4.04040487855673
2.20298863454873,5.28608046823764,4.6175559981919,2.41614003339782,4.90365320187993
1.60145030226228,5.20932576942231,4.17781873762646,3.6715824236162,3.68081859569065
1.91454414255891,5.08705778978154,2.64447785564514,2.75878527876921,4.15071848384105
2.02332745671654,5.14303568142221,3.92950199148811,2.2208185121417,2.8502742680721
1.82135848598901,5.1834349835282,4.75803819360387,4.287945875898,4.406758710742
2.06678058849984,4.46781544030686,3.54607043302522,3.81910632783547,3.88765807496384
2.08228598412315,5.22205541932776,3.66456705558555,2.99898159573786,4.72688273573294
1.9933927681448,4.90300248068753,4.5304918384377,4.72899085632525,3.18837556708604
1.50682036124799,5.04612336612624,4.79221979576801,3.77008159039542,2.92485324200243
2.51429162917333,4.94096843982328,3.81178467687213,4.83927718829364,4.19508248916827
1.95894014850636,5.17439299081575,2.13745363870068,4.70699161617085,4.08502570539713
