f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20
1.88790487068956,1.85791868726014,4.88304231757739,2.41614003339782,4.90365320187993,2.61748076067306,3.47391777206212,3.15884535177611,2.04585699271411,3.2709551283624,2.72448164713569,2.29590725246817,2.01283317152411,4.81368031585589,3.65057674353011,2.91339255473576,3.26237663673237,3.26204841118306,4.0722030797042,4.96626305556856
1.95396450210334,2.05137674183131,2.29882714148417,3.6715824236162,3.68081859569065,4.82761714234948,4.94561434467323,3.62714833649807,2.92895300406963,2.65260410541669,3.23233460844494,3.87034990033135,2.426662144484,3.51149383978918,2.40573399909772,4.49845634587109,2.36728912545368,2.145543982042,4.99982406944036,4.98551454162225
2.31174166282982,1.95066162430753,4.64714529816469,2.75878527876921,4.15071848384105,3.13797137583606,2.67236632178538,4.23275924660265,3.2855080680456,2.95775065501221,4.43352503608912,2.7691182794515,4.78758111107163,2.9728319242131,4.04546664841473,3.78094252524897,3.0928556220606,3.95277639967389,4.84660845762119,2.96431232173927
2.01410167828492,1.93049148012045,3.74700484214633,2.2208185121417,2.8502742680721,3.87872042367235,4.13758596591651,2.99999729520641,3.68639319692738,2.724860382732,3.13742367783561,3.43779969378375,2.48565446934663,3.32793633360416,3.35105319647118,4.42158992402256,4.99617847870104,3.50569278607145,4.85734821390361,2.51605375809595
2.02585754703219,1.809676286547,3.50604833147677,4.287945875898,4.406758710742,2.55050720577128,2.45037817792036,2.97474571457133,4.76229640096426,2.00345715507865,3.34085069154389,3.43143051886,4.96550344978459,3.4609204325825,3.09993369784206,2.88215233338997,4.39365887944587,4.35913557489403,4.0525742159225,3.11623529880308
2.34301299737666,1.99099445503822,3.33169442996368,3.81910632783547,3.88765807496384,3.97762285498902,3.57717751828022,3.27122911042534,3.55076725757681,2.67145148315467,3.71152334753424,4.49147424916737,4.11266977875493,4.52480792207643,3.15839402121492,2.42325566499494,3.04955453495495,3.64107967494056,4.20844115014188,3.61684675049037
2.09218324119784,1.84301910610858,4.33566560267955,2.99898159573786,4.72688273573294,4.20407873205841,4.48542747017927,2.82890404714271,4.22011990938336,4.90749386604875,2.39363710791804,4.68673253804445,2.97362766438164,4.84747823444195,3.21341358311474,4.66586330765858,4.81093116407283,3.33238087967038,4.8704169804696,4.43373477226123
1.74698775307869,1.66641161268237,2.37365906050133,4.72899085632525,3.18837556708604,3.48703829897568,2.380581632955,3.878270448884,3.85353842750192,3.29720859578811,2.03905510553159,3.73062716331333,2.98425570037216,3.41110943700187,4.48269416298717,2.02485501253977,4.13959213742055,4.51339219254442,2.62178066372871,4.09605388715863
1.86262942962129,1.92395469594245,2.99520976144263,3.77008159039542,2.92485324200243,4.60615623136982,4.45904984511435,2.13079353468493,2.61724852886982,4.88992138556205,4.03300918242894,4.8313852744177,4.33010622719303,3.1131859512534,4.7480443737004,3.70736195892096,3.48573130532168,4.02720492193475,4.02434974955395,4.69986022589728
1.91086760598001,2.18379932181215,3.73578225307222,4.83927718829364,4.19508248916827,4.49551383336075,2.73801024910063,3.81960436026566,3.52606712235138,2.76746034738608,4.50546683277935,2.87550591444597,3.49580938438885,2.67772554582916,4.28360878163949,4.90265056979842,4.43673608521931,2.15498567628674,2.29304373660125,4.16977605037391
2.24481635948789,1.88493060747832,2.84662428073272,4.70699161617085,4.08502570539713,4.94989647599868,2.29105389653705,3.25114729069173,2.18318704352714,2.40629161708057,4.80879044346511,3.87595782941207,3.49102054955438,2.01381987868808,3.10204604570754,2.80756629002281,3.96479763439856,2.37795786117204,3.49612092296593,2.76515013701282
2.07196276541147,2.12159286444501,4.39673170351859,3.16090411623009,3.30590049666353,4.00055067520589,2.49110436043702,2.13085706741549,4.32350638369098,3.6877760796342,2.17535184160806,3.86055159033276,2.79912452050485,4.12831207318231,4.07416428229772,4.9518802119419,3.0822376429569,4.47911617578939,4.2741518993862,2.92601499683224
2.08015429011881,1.67642345834217,2.65494713450652,4.15544298477471,4.42255967110395,3.92858042614534,3.99306561192498,4.98022322147153,2.6127405918669,3.29974802327342,4.00407738261856,3.94585355743766,4.78940430493094,4.08910502819344,3.52409803937189,2.10616846289486,3.41579465614632,3.20428623328917,2.03605574835092,4.24051209003665
2.02213654318902,1.98888760689509,3.75388654409356,4.48204116453417,2.91683913464658,2.13543585455045,4.03228435036726,3.87968312297016,4.5712207837496,4.58868237934075,3.15756962192245,2.70473182480782,4.03263734932989,2.044084854424,2.05827781232074,2.77392929140478,3.79507311689667,3.51523397350684,2.47962873242795,2.61573863658123
1.88883177304919,2.10388144078869,3.2867648126441,4.74146613385528,4.74366593989544,2.57253932743333,2.39885562844574,4.51652045501396,3.54131544637494,4.74643083359115,3.72838713182136,3.21125879907049,4.13077949662693,2.56304807588458,3.9406974199228,2.77967336424626,4.17859949334525,3.0114013501443,2.3310558386147,2.85794994840398
2.35738262736062,2.06023067243334,2.88558616797646,2.39185639633797,3.88948816852644,2.09776173112914,4.93857195414603,3.19125388958491,2.75486404215917,3.85492679406889,2.41644253348932,2.51284946338274,2.84538222406991,3.61056210077368,3.86902299337089,4.84456546301953,3.06799919297919,3.87152021448128,4.40897053433582,4.6966124039609
2.09957009564585,2.02113523882979,4.82523359930032,2.13325123023242,4.33149277418852,4.54158343374729,2.43983742687851,4.85926695726812,4.43824834050611,4.52279189345427,2.76750155980699,3.55748908640817,3.74207582883537,2.47702753869817,2.9989133279305,4.93886821600609,3.7594353496097,3.73269085912034,3.12463228031993,2.50394010660239
1.60667656867407,1.87185879833892,2.61387113419137,4.96470160339959,4.15143167693168,3.27337176795118,4.82545026182197,3.13519334071316,2.20100767305121,2.86476535489783,2.93918265239336,3.75308414059691,4.8627704132814,2.73802996333688,2.07886050944217,4.20315459091216,3.54981076368131,2.66674415324815,3.8919158463832,2.43078980012797
2.14027118031274,1.83005913079328,3.35761317859723,3.16843806137331,3.98952856822871,4.45161031582393,4.10105523467064,4.45968526252545,2.07858043652959,4.69738560379483,4.14535342040472,2.24023454124108,2.10799564514309,4.76694497722201,4.92484207754023,2.86243926989846,3.78054406843148,3.91872107842937,4.28555403696373,4.2004289238248
1.90544171845441,1.79517424187902,2.10181916042542,4.13316023931839,4.10927600204013,2.45497997966595,3.70388871058822,2.02167965425178,3.7887689366471,2.42330972966738,2.56603858666494,4.18670757580549,3.53070782660507,3.08931382303126,4.97382457088679,3.2268773552496,4.66480875387788,3.07023474713787,2.74585937615484,3.62850690400228
